1,"E-1",-1,0,0,0
2,"H2O",0,0,0,18.0153
20,"Ag+1",1,0,0,107.8682
30,"Al+3",3,9,0,26.9815
60,"H3AsO3",0,0,0,125.9436
61,"H3AsO4",0,0,0,141.943
90,"H3BO3",0,0,0,61.833
100,"Ba+2",2,5,0,137.33
110,"Be+2",2,0,0,9.0122
130,"Br-1",-1,4,0,79.904
140,"CO3-2",-2,5.4,0,60.0094
143,"CN-",-1,0,0,26.0177
144,"DOM1",-2.8,0,0,0
145,"DOM2",-2.8,0,0,0
146,"DOM3",-2.8,0,0,0
150,"Ca+2",2,6,.165,40.078
160,"Cd+2",2,0,0,112.41
180,"Cl-1",-1,3,.015,35.453
200,"Co+2",2,0,0,58.9332
201,"Co+3",3,0,0,58.9332
210,"Cr+2",2,0,0,51.9961
211,"Cr(OH)2+",1,0,0,86.0108
212,"CrO4-2",-2,4,0,115.9937
230,"Cu+1",1,2.5,0,63.546
231,"Cu+2",2,6,0,63.546
270,"F-1",-1,3.5,0,18.9984
280,"Fe+2",2,6,0,55.847
281,"Fe+3",3,9,0,55.847
330,"H+1",1,9,0,1.0079
360,"Hg2+2",2,4,0,401.18
361,"Hg(OH)2",0,0,0,234.6
380,"I-1",-1,0,0,126.9045
410,"K+1",1,3,.015,39.0983
440,"Li+1",1,6,0,6.941
460,"Mg+2",2,6.5,.2,24.305
470,"Mn+2",2,6,0,54.938
471,"Mn+3",3,9,0,54.938
480,"MoO4-2",-2,0,0,159.9376
490,"NH4+1",1,2.5,0,18.0385
491,"NO2-1",-1,0,0,46.0055
492,"NO3-1",-1,3,0,62.0049
500,"Na+1",1,4,.075,22.9898
540,"Ni+2",2,0,0,58.69
580,"PO4-3",-3,5,0,94.9714
600,"Pb+2",2,0,0,207.2
730,"HS-1",-1,3.5,0,33.073
731,"S",0,0,0,32.066
732,"SO4-2",-2,4,-.04,96.063
740,"Sb(OH)3",0,0,0,172.77
741,"Sb(OH)6-",-1,0,0,223.79
760,"HSe-1",-1,0,0,79.96
761,"HSeO3-1",-1,0,0,127.96
762,"SeO4-2",-2,4,0,142.95
770,"H4SiO4",0,0,0,96.1149
790,"Sn(OH)2",0,0,0,152.7246
791,"Sn(OH)6-",-2,0,0,220.7538
800,"Sr+2",2,5,0,87.62
870,"Tl+1",1,0,0,204.383
871,"Tl(OH)3",0,0,0,255.405
890,"U+3",3,0,0,238.0289
891,"U+4",4,0,0,238.0289
892,"UO2+1",1,0,0,270.0277
893,"UO2+2",2,0,0,270.0277
900,"V+2",2,0,0,50.9425
901,"V+3",3,0,0,50.9425
902,"VO+2",2,0,0,66.9419
903,"VO2+1",1,0,0,82.9413
917,"Benzoate",-1,0,0,121.116
918,"PhAcO",-1,0,0,135.142
920,"iPhthal",-2,0,0,164.117
950,"Zn+2",2,6,0,65.39
955,"DiEtAm",0,0,0,73.138
956,"BuAm",0,0,0,73.138
958,"MeAm",0,0,0,31.057
959,"DiMeAm",0,0,0,45.084
961,"HexylAm",0,0,0,101.192
963,"EtDiAm",0,0,0,60.099
964,"PrAm",0,0,0,59.111
965,"iPrAm",0,0,0,59.111
966,"TriMeAm",0,0,0,59.111
967,"Citrate",-3,0,0,189.102
968,"NTA",-3,0,0,188.117
969,"EDTA",-4,0,0,288.214
971,"Propion",-1,0,0,73.072
972,"Butyr",-1,0,0,87.098
973,"iButyr",-1,0,0,87.098
980,"2Picol",0,0,0,93.128
981,"3Picol",0,0,0,93.128
982,"4Picol",0,0,0,93.128
983,"Formate",-1,0,0,45.018
984,"iValerat",-1,0,0,101.125
985,"Valerate",-1,0,0,101.125
992,"Acetate",-1,0,0,59.045
993,"Tartrat",-2,0,0,148.072
994,"Glycine",-1,0,0,74.059
995,"Salicyl",-2,0,0,136.107
996,"Glutam",-2,0,0,145.115
997,"Phthal",-2,0,0,164.117
998,"H+1D",1,0,0,1.008
999,"OH-D",-1,0,0,17.0074
1200,"DOC (Gaussian DOM)",0,0,0,12
1301,"Lsite1",0,0,0,1
1302,"Lsite2",0,0,0,1
1311,"LFsite1",0,0,0,1
1312,"LFsite2",0,0,0,1
1321,"NICAsite1",0,0,0,1
1322,"NICAsite2",0,0,0,2
1340,"DOC (NICA-Donnan)",0,0,0,12
1341,"HFA1-(6)",-1,0,0,1
1342,"HFA2-(6)",-1,0,0,1
1343,"HFA1-(7)",-1,0,0,1
1344,"HFA2-(7)",-1,0,0,1
1351,"HFA1-(8)",-1,0,0,1
1352,"HFA2-(8)",-1,0,0,1
1353,"HFA1-(9)",-1,0,0,1
1354,"HFA2-(9)",-1,0,0,1
1361,"HFA1-(10)",-1,0,0,1
1362,"HFA2-(10)",-1,0,0,1
1363,"HFA1-(11)",-1,0,0,1
1364,"HFA2-(11)",-1,0,0,1
1401,"Ts1-Fer",0,0,0,0
1501,"R-dum",-1,0,0,1
1601,"PSIo(1)",0,0,0,0
1602,"PSIb(1)",0,0,0,0
1603,"PSId(1)",0,0,0,0
1607,"=SX-(1)",-1,0,0,1
1608,"=IX-(1)",-1,0,0,1
1611,"=SOH(1)",0,0,0,1
1612,"=SOHs2(1)",0,0,0,1
1613,"=SOHs3(1)",0,0,0,1
1614,"=SOHs4(1)",0,0,0,1
1615,"=SOHs5(1)",0,0,0,1
1616,"=SOHs6(1)",0,0,0,1
1621,"PSIo(2)",0,0,0,0
1622,"PSIb(2)",0,0,0,0
1623,"PSId(2)",0,0,0,0
1627,"=SX-(2)",-1,0,0,1
1628,"=IX-(2)",-1,0,0,1
1631,"=SOH(2)",0,0,0,1
1632,"=SOHs2(2)",0,0,0,1
1633,"=SOHs3(2)",0,0,0,1
1634,"=SOHs4(2)",0,0,0,1
1635,"=SOHs5(2)",0,0,0,1
1636,"=SOHs6(2)",0,0,0,1
1641,"PSIo(3)",0,0,0,0
1642,"PSIb(3)",0,0,0,0
1643,"PSId(3)",0,0,0,0
1647,"=SX-(3)",-1,0,0,1
1648,"=IX-(3)",-1,0,0,1
1651,"=SOH(3)",0,0,0,1
1652,"=SOHs2(3)",0,0,0,1
1653,"=SOHs3(3)",0,0,0,1
1654,"=SOHs4(3)",0,0,0,1
1655,"=SOHs5(3)",0,0,0,1
1656,"=SOHs6(3)",0,0,0,1
1661,"PSIo(4)",0,0,0,0
1662,"PSIb(4)",0,0,0,0
1663,"PSId(4)",0,0,0,0
1667,"=SX-(4)",-1,0,0,1
1668,"=IX-(4)",-1,0,0,1
1671,"=SOH(4)",0,0,0,1
1672,"=SOHs2(4)",0,0,0,1
1673,"=SOHs3(4)",0,0,0,1
1674,"=SOHs4(4)",0,0,0,1
1675,"=SOHs5(4)",0,0,0,1
1676,"=SOHs6(4)",0,0,0,1
1681,"PSIo(5)",0,0,0,0
1682,"PSIb(5)",0,0,0,0
1683,"PSId(5)",0,0,0,0
1687,"=SX-(5)",-1,0,0,1
1688,"=IX-(5)",-1,0,0,1
1691,"=SOH(5)",0,0,0,1
1692,"=SOHs2(5)",0,0,0,1
1693,"=SOHs3(5)",0,0,0,1
1694,"=SOHs4(5)",0,0,0,1
1695,"=SOHs5(5)",0,0,0,1
1696,"=SOHs6(5)",0,0,0,1
1700,"DOC (SHM)",0,0,0,12
1701,"/HFA-haf(6)",0,0,0,1
1702,"/HFA(6)",0,0,0,1
1703,"/PSIo(6)",0,0,0,0
1704,"/PSIb(6)",0,0,0,0
1705,"/PSId(6)",0,0,0,0
1799,"HFA-dum(6)",0,0,0,0
1801,"/HFA-haf(7)",0,0,0,1
1802,"/HFA(7)",0,0,0,1
1803,"/PSIo(7)",0,0,0,0
1804,"/PSIb(7)",0,0,0,0
1805,"/PSId(7)",0,0,0,0
1899,"HFA-dum(7)",0,0,0,0
1901,"/HFA-haf(8)",0,0,0,1
1902,"/HFA(8)",0,0,0,1
1903,"/PSIo(8)",0,0,0,0
1904,"/PSIb(8)",0,0,0,0
1905,"/PSId(8)",0,0,0,0
1999,"HFA-dum(8)",0,0,0,0
2001,"/HFA-haf(9)",0,0,0,1
2002,"/HFA(9)",0,0,0,1
2003,"/PSIo(9)",0,0,0,0
2004,"/PSIb(9)",0,0,0,0
2005,"/PSId(9)",0,0,0,0
2099,"HFA-dum(9)",0,0,0,0
2101,"/HFA-haf(10)",0,0,0,1
2102,"/HFA(10)",0,0,0,1
2103,"/PSIo(10)",0,0,0,0
2104,"/PSIb(10)",0,0,0,0
2105,"/PSId(10)",0,0,0,0
2199,"HFA-dum(10)",0,0,0,0
2201,"/HFA-haf(11)",0,0,0,1
2202,"/HFA(11)",0,0,0,1
2203,"/PSIo(11)",0,0,0,0
2204,"/PSIb(11)",0,0,0,0
2205,"/PSId(11)",0,0,0,0
2299,"HFA-dum(11)",0,0,0,0
0,"",0,0,0,0
